pos	ga
1	0.493761677913829
2	0.243204984169135
3	0.120516533296374
4	0.0716773605419713
5	0.0459228393098232
6	0.0324183896578656
7	0.0226233839154597
8	0.0166077976131489
9	0.0136813811713678
10	0.0120619164465344
11	0.0115061597930977
12	0.0118275447340641
13	0.0121600965967782
14	0.0116523561508791
15	0.0115344044630212
16	0.011672760496036
17	0.0109181954813805
18	0.0102861309946458
19	0.00956647972344936
20	0.00934384696997849
21	0.00844276041557935
22	0.00805096193995024
23	0.00737667289890581
24	0.00668093992945264
25	0.0060998096649649
