pos	ct
1	0.493738469811004
2	0.245164966010792
3	0.121276658245696
4	0.0715531550520353
5	0.046064589275275
6	0.0321636050183989
7	0.0228986447520185
8	0.0168482681263301
9	0.013346465433095
10	0.0120137577743225
11	0.0116599080550836
12	0.0117726884819318
13	0.0119752541645664
14	0.0119034872917796
15	0.0115017808765488
16	0.0113497816882084
17	0.0110884527147591
18	0.0102795232177551
19	0.00981894041189357
20	0.00910147844797668
21	0.00855873069050897
22	0.0077610284372087
23	0.00732676932840886
24	0.00651287581871268
25	0.00588238382685734
